name,latitude,longitude,crowd_index,events_index
Parc Central de Nou Barris,41.4368445525108,2.1712296246319656,4.637970311034349,9.042553191489361
Teatre Nacional de Catalunya,41.39971763958852,2.1861052566703805,13.251343745812425,13.829787234042552
Escola Business Engineering School - la Salle,41.40890993792351,2.1311370586996183,1.325134374581242,0.0
Santuari de Santa Eulàlia de Vilapicina,41.43072358230434,2.1729158525346945,7.29866146539017,4.787234042553191
Parc de la Font del Racó,41.41609393601731,2.130839745769486,5.30053749832497,0.0
Herboristeria del Rei,41.38070755674348,2.175034436574318,94.46272501228356,3.1914893617021276
Parròquia de Santa Teresa de l'Infant Jesús,41.400511756428415,2.151808582444108,10.662120512782337,0.0
Casa Muntadas,41.41526572017423,2.1332147546001883,12.588776558521802,0.0
Casa Francesc Cama,41.40028269384311,2.1548570322157654,16.33935351309501,7.9787234042553195
Casa Madurell,41.40275219893523,2.1596123951981183,13.98537885442878,1.0638297872340425
Casa Vilabella,41.40416890235721,2.155505247349864,29.857213048851303,2.6595744680851063
Centre Cívic Sarrià,41.39390619967619,2.1211872573336934,0.0,8.51063829787234
Centre Cívic La Sedeta,41.405576512012246,2.167687591797475,5.30053749832497,9.042553191489361
Parròquia de l'Immaculat Cor de Maria,41.405951148357936,2.166593971349565,1.9877015618718636,2.6595744680851063
Institut Nacional d'Educació Física de Catalunya *Barcelona,41.36537462912623,2.146913285556539,3.975403123743727,0.0
Casa Company,41.393120800716055,2.1481893230679403,13.98537885442878,2.6595744680851063
Centre Educatiu Jesús Maria *Passeig Sant Gervasi,41.40962676260745,2.1321227367298,0.0,0.0
Vall d'Hebron Barcelona Hospital Campus,41.42804943371883,2.1434499797388105,1.325134374581242,0.0
Port Olímpic de Barcelona,41.38772238063312,2.199282061005833,20.876077602251232,1.5957446808510638
Jardins del Mirador de l'Alcalde,41.36693458020852,2.169190267865246,1.325134374581242,0.0
Casal Cívic i Comunitari Barcelona - Magòria,41.36986934117719,2.14126001076402,0.0,1.0638297872340425
Fàbrica de Creació Ateneu Popular 9 Barris,41.44877310192653,2.1804102466794437,0.0,0.5319148936170213
Sala El Molino,41.37458590109832,2.167271088906495,34.023197296130306,4.787234042553191
Restaurant Can Travi Nou,41.43139726568915,2.150432990990598,1.325134374581242,0.0
Torre de les Aigües del Besòs,41.405450920442256,2.212560936198963,5.9631046856155905,1.5957446808510638
Forn de Pa Roura Vila,41.39744142472332,2.144269436975635,7.200393073567293,1.0638297872340425
Centre Educatiu Vedruna Gràcia Barcelona,41.40471777195005,2.151415793082498,1.2164435775650282,0.0
Castell dels Tres Dragons,41.38811182882805,2.1833851582204957,3.3128359364531064,1.0638297872340425
Centre Esportiu Municipal Piscines Bernat Picornell,41.36632923206704,2.150793450223625,7.288239060196832,0.0
Finca Sansalvador,41.418944974567545,2.148358843174665,7.950806247487455,1.0638297872340425
Pèrgola Fotovoltaica al Parc del Fòrum,41.41150571915544,2.2281237482570995,0.0,0.0
El passatge d'Antoni Gassol,41.41275610120803,2.195583895314642,0.0,0.0
Centre Comercial Maremàgnum,41.37576189535446,2.183231333568717,32.70401858165955,0.0
Casal de Barri Can Portabella,41.4291308751184,2.193936700525465,2.6502687491624854,11.170212765957446
Jardins del Teatre Grec,41.37014353208927,2.158621128519657,14.576478120393666,6.914893617021276
Jardins Creu de Pedralbes,41.39433185278547,2.1115767347502405,0.0,0.0
Residència Militar d'Estudiants Mateo Calabro,41.39297332973804,2.12510287048567,0.0,0.5319148936170213
Portal Casa Miralles,41.39211337098168,2.1274984374334376,3.975403123743727,0.0
Centre Cívic Casa Orlandai,41.3983599977031,2.1246720318706647,0.0,13.829787234042552
Telefèric de Barcelona,41.373250146274025,2.187875716121665,28.490389053496713,0.0
Biblioteca Collserola - Josep Miracle,41.41538974314011,2.102546833751382,0.0,10.106382978723405
Pastisseria Escribà *La Rambla,41.381562357710784,2.1727040810941585,94.0056280988044,0.5319148936170213
Centre Penitenciari Obert 2  - Presó de Dones de la Trinitat,41.45352852329394,2.191463299081721,0.0,0.0
Centre Cívic Vallvidrera Vázquez Montalbán,41.41539106451316,2.102545331836101,0.0,10.106382978723405
Escultura Pi i Margall-La República,41.438224060995616,2.1740546617840075,1.107752780548814,1.5957446808510638
Espai Jove La Fontana,41.40325591053633,2.1523241627536023,7.526465464615935,2.127659574468085
Escultura Mistos,41.43084545648815,2.151482440531504,3.975403123743727,1.5957446808510638
Bar Marsella,41.3782782040133,2.17122360530803,13.925538927315408,9.574468085106382
Jardins de Jacint Verdaguer,41.36885056534847,2.1630513619866973,3.3128359364531064,0.0
Hotel W Barcelona - HB-004411 *Edifici Vela,41.36836130546307,2.1899983126477727,15.23904530768429,0.0
Palau Sant Jordi,41.3620001141372,2.1523962021929672,2.6502687491624854,36.170212765957444
Museu d'Art Contemporani de Barcelona,41.383177415641065,2.16784852899158,24.13084585262719,6.914893617021276
La plaça del Monestir,41.39644186075786,2.1129074520593005,3.3128359364531064,0.5319148936170213
Centre Comercial El Centre de la Vila,41.39092742219698,2.1978686794906324,21.212572398493215,2.127659574468085
Fira Barcelona,41.3727179943061,2.150211222762335,13.251343745812425,1.5957446808510638
Centre Cívic Vil·la Florida,41.40536533899808,2.135308972460361,1.6616291708232214,7.446808510638298
Centre Estudis Ignasi Iglesias,41.43353929705061,2.1881120391596145,1.6616291708232214,6.382978723404255
Bar musical La Torre Rosa,41.42271161168508,2.180504022970048,3.3232583416464427,0.0
Restaurant Can Cortada,41.43763336944126,2.1528053939918426,0.0,0.0
