name,longitude,latitude,events_index,baseline_crowd_levels,weather_index
Parc Central de Nou Barris,2.1712296246319656,41.4368445525108,8.333333333333332,1.254480286738351,
Teatre Nacional de Catalunya,2.1861052566703805,41.39971763958852,18.627450980392158,3.584229390681003,
Escola Business Engineering School - la Salle,2.1311370586996183,41.40890993792351,0.0,0.3584229390681002,
Santuari de Santa Eulàlia de Vilapicina,2.1729158525346945,41.43072358230434,4.411764705882353,2.198864322822278,
Parc de la Font del Racó,2.130839745769486,41.41609393601731,0.0,1.4336917562724012,
Herboristeria del Rei,2.175034436574318,41.38070755674348,25.98039215686275,51.09339132535943,
Parròquia de Santa Teresa de l'Infant Jesús,2.151808582444108,41.400511756428415,0.0,3.932584269662922,
Casa Muntadas,2.1332147546001883,41.41526572017423,0.0,3.405017921146953,
Casa Francesc Cama,2.1548570322157654,41.40028269384311,7.352941176470589,5.805243445692884,
Casa Madurell,2.1596123951981183,41.40275219893523,0.9803921568627451,4.868913857677903,
Casa Vilabella,2.155505247349864,41.40416890235721,2.450980392156863,25.64133542748983,
Centre Cívic Sarrià,2.1211872573336934,41.39390619967619,7.8431372549019605,0.0,
Centre Cívic La Sedeta,2.167687591797475,41.405576512012246,7.8431372549019605,1.4336917562724012,
Parròquia de l'Immaculat Cor de Maria,2.166593971349565,41.405951148357936,1.9607843137254901,0.5376344086021505,
Institut Nacional d'Educació Física de Catalunya *Barcelona,2.146913285556539,41.36537462912623,0.0,1.0752688172043008,
Casa Company,2.1481893230679403,41.393120800716055,2.941176470588235,5.2434456928838955,
Centre Educatiu Jesús Maria *Passeig Sant Gervasi,2.1321227367298,41.40962676260745,0.0,0.0,
Vall d'Hebron Barcelona Hospital Campus,2.1434499797388105,41.42804943371883,0.0,0.3584229390681002,
Port Olímpic de Barcelona,2.199282061005833,41.38772238063312,1.4705882352941175,5.7589303692964435,
Jardins del Mirador de l'Alcalde,2.169190267865246,41.36693458020852,0.0,0.3584229390681002,
Casal Cívic i Comunitari Barcelona - Magòria,2.14126001076402,41.36986934117719,0.9803921568627451,0.0,
Fàbrica de Creació Ateneu Popular 9 Barris,2.1804102466794437,41.44877310192653,0.49019607843137253,0.0,
Sala El Molino,2.167271088906495,41.37458590109832,4.411764705882353,29.726954210462726,
Restaurant Can Travi Nou,2.150432990990598,41.43139726568915,0.0,0.3584229390681002,
Torre de les Aigües del Besòs,2.212560936198963,41.405450920442256,1.4705882352941175,1.6129032258064513,
Forn de Pa Roura Vila,2.144269436975635,41.39744142472332,0.49019607843137253,2.4344569288389515,
Centre Educatiu Vedruna Gràcia Barcelona,2.151415793082498,41.40471777195005,0.0,0.3664773871370465,
Castell dels Tres Dragons,2.1833851582204957,41.38811182882805,1.4705882352941175,0.8960573476702508,
Centre Esportiu Municipal Piscines Bernat Picornell,2.150793450223625,41.36632923206704,0.0,1.9713261648745515,
Finca Sansalvador,2.148358843174665,41.418944974567545,0.9803921568627451,2.150537634408602,
Pèrgola Fotovoltaica al Parc del Fòrum,2.2281237482570995,41.41150571915544,0.0,0.0,
El passatge d'Antoni Gassol,2.195583895314642,41.41275610120803,0.0,0.0,
Centre Comercial Maremàgnum,2.183231333568717,41.37576189535446,0.0,25.886996093592685,
Casal de Barri Can Portabella,2.193936700525465,41.4291308751184,10.294117647058822,0.7168458781362008,
Jardins del Teatre Grec,2.158621128519657,41.37014353208927,6.372549019607843,3.942652329749104,
Jardins Creu de Pedralbes,2.1115767347502405,41.39433185278547,0.0,0.0,
Residència Militar d'Estudiants Mateo Calabro,2.12510287048567,41.39297332973804,0.49019607843137253,0.0,
Portal Casa Miralles,2.1274984374334376,41.39211337098168,0.0,1.0752688172043008,
Centre Cívic Casa Orlandai,2.1246720318706647,41.3983599977031,12.745098039215685,0.0,
Telefèric de Barcelona,2.187875716121665,41.373250146274025,0.0,7.7060931899641565,
Biblioteca Collserola - Josep Miracle,2.102546833751382,41.41538974314011,9.313725490196079,0.0,
Pastisseria Escribà *La Rambla,2.1727040810941585,41.381562357710784,3.9215686274509802,49.43417502315654,
Centre Penitenciari Obert 2  - Presó de Dones de la Trinitat,2.191463299081721,41.45352852329394,0.0,0.0,
Centre Cívic Vallvidrera Vázquez Montalbán,2.102545331836101,41.41539106451316,9.313725490196079,0.0,
Escultura Pi i Margall-La República,2.1740546617840075,41.438224060995616,1.4705882352941175,0.37453183520599254,
Espai Jove La Fontana,2.1523241627536023,41.40325591053633,2.450980392156863,2.410293584632113,
Escultura Mistos,2.151482440531504,41.43084545648815,0.49019607843137253,1.0752688172043008,
Bar Marsella,2.17122360530803,41.3782782040133,8.823529411764707,5.473246916960934,
Jardins de Jacint Verdaguer,2.1630513619866973,41.36885056534847,0.0,0.8960573476702508,
Hotel W Barcelona - HB-004411 *Edifici Vela,2.1899983126477727,41.36836130546307,0.0,4.121863799283155,
Palau Sant Jordi,2.1523962021929672,41.3620001141372,33.33333333333333,0.7168458781362008,
Museu d'Art Contemporani de Barcelona,2.16784852899158,41.383177415641065,6.372549019607843,24.1673714308727,
La plaça del Monestir,2.1129074520593005,41.39644186075786,7.352941176470589,0.8960573476702508,
Centre Comercial El Centre de la Vila,2.1978686794906324,41.39092742219698,1.9607843137254901,5.962305183037333,
Fira Barcelona,2.150211222762335,41.3727179943061,1.9607843137254901,3.584229390681003,
Centre Cívic Vil·la Florida,2.135308972460361,41.40536533899808,6.862745098039216,0.5617977528089888,
Centre Estudis Ignasi Iglesias,2.1881120391596145,41.43353929705061,5.88235294117647,0.5617977528089888,
